,stage,datetime,year,month,date,day_of_week,time
0,0,2020-09-07 20:03:18,2020,9,2020-09-07,7,20:03:18
1,2,2020-09-07 14:00:22,2020,9,2020-09-07,7,14:00:22
2,1,2020-09-07 06:00:53,2020,9,2020-09-07,7,06:00:53
3,0,2020-09-06 18:16:14,2020,9,2020-09-06,6,18:16:14
4,1,2020-09-06 10:00:25,2020,9,2020-09-06,6,10:00:25
5,2,2020-09-06 06:00:50,2020,9,2020-09-06,6,06:00:50
6,0,2020-09-05 20:00:31,2020,9,2020-09-05,5,20:00:31
7,2,2020-09-05 06:00:18,2020,9,2020-09-05,5,06:00:18
8,0,2020-09-04 19:12:05,2020,9,2020-09-04,4,19:12:05
9,3,2020-09-04 06:01:47,2020,9,2020-09-04,4,06:01:47
10,0,2020-09-03 20:04:09,2020,9,2020-09-03,3,20:04:09
11,4,2020-09-03 06:00:35,2020,9,2020-09-03,3,06:00:35
12,0,2020-09-02 20:21:48,2020,9,2020-09-02,2,20:21:48
13,4,2020-09-02 13:00:13,2020,9,2020-09-02,2,13:00:13
14,2,2020-09-02 06:00:50,2020,9,2020-09-02,2,06:00:50
15,0,2020-09-01 20:00:23,2020,9,2020-09-01,1,20:00:23
16,2,2020-09-01 10:00:34,2020,9,2020-09-01,1,10:00:34
17,0,2020-08-20 20:00:04,2020,8,2020-08-20,20,20:00:04
18,2,2020-08-20 07:02:58,2020,8,2020-08-20,20,07:02:58
19,0,2020-08-19 20:00:55,2020,8,2020-08-19,19,20:00:55
20,2,2020-08-19 07:00:20,2020,8,2020-08-19,19,07:00:20
21,0,2020-08-18 19:56:07,2020,8,2020-08-18,18,19:56:07
22,2,2020-08-18 14:01:02,2020,8,2020-08-18,18,14:01:02
23,0,2020-08-14 19:31:25,2020,8,2020-08-14,14,19:31:25
24,1,2020-08-14 15:00:49,2020,8,2020-08-14,14,15:00:49
25,2,2020-08-14 05:59:58,2020,8,2020-08-14,14,05:59:58
26,0,2020-08-13 20:02:24,2020,8,2020-08-13,13,20:02:24
27,2,2020-08-13 05:55:23,2020,8,2020-08-13,13,05:55:23
28,0,2020-07-16 19:15:17,2020,7,2020-07-16,16,19:15:17
29,2,2020-07-16 12:00:23,2020,7,2020-07-16,16,12:00:23
30,1,2020-07-16 07:00:32,2020,7,2020-07-16,16,07:00:32
31,0,2020-07-15 19:50:37,2020,7,2020-07-15,15,19:50:37
32,2,2020-07-15 12:01:40,2020,7,2020-07-15,15,12:01:40
33,1,2020-07-15 07:00:28,2020,7,2020-07-15,15,07:00:28
34,0,2020-07-14 19:57:28,2020,7,2020-07-14,14,19:57:28
35,2,2020-07-14 07:03:33,2020,7,2020-07-14,14,07:03:33
36,0,2020-07-13 20:01:22,2020,7,2020-07-13,13,20:01:22
37,2,2020-07-13 07:00:26,2020,7,2020-07-13,13,07:00:26
38,0,2020-07-12 20:00:55,2020,7,2020-07-12,12,20:00:55
39,1,2020-07-12 18:00:42,2020,7,2020-07-12,12,18:00:42
40,2,2020-07-12 05:59:43,2020,7,2020-07-12,12,05:59:43
41,0,2020-07-11 20:34:30,2020,7,2020-07-11,11,20:34:30
42,2,2020-07-11 07:04:40,2020,7,2020-07-11,11,07:04:40
43,0,2020-07-10 20:16:19,2020,7,2020-07-10,10,20:16:19
44,2,2020-07-10 10:16:09,2020,7,2020-07-10,10,10:16:09
45,0,2020-03-15 12:00:56,2020,3,2020-03-15,15,12:00:56
46,1,2020-03-15 07:00:24,2020,3,2020-03-15,15,07:00:24
47,0,2020-03-14 23:00:39,2020,3,2020-03-14,14,23:00:39
48,1,2020-03-14 12:12:09,2020,3,2020-03-14,14,12:12:09
49,2,2020-03-14 07:02:55,2020,3,2020-03-14,14,07:02:55
50,0,2020-03-13 23:00:59,2020,3,2020-03-13,13,23:00:59
51,3,2020-03-13 14:41:59,2020,3,2020-03-13,13,14:41:59
52,4,2020-03-11 09:53:28,2020,3,2020-03-11,11,09:53:28
53,2,2020-03-10 22:59:58,2020,3,2020-03-10,10,22:59:58
54,4,2020-03-10 14:01:13,2020,3,2020-03-10,10,14:01:13
55,2,2020-03-10 09:00:02,2020,3,2020-03-10,10,09:00:02
56,2,2020-03-10 07:16:05,2020,3,2020-03-10,10,07:16:05
57,0,2020-03-10 05:00:38,2020,3,2020-03-10,10,05:00:38
58,1,2020-03-09 08:59:46,2020,3,2020-03-09,9,08:59:46
59,0,2020-02-22 17:00:21,2020,2,2020-02-22,22,17:00:21
60,2,2020-02-20 08:58:31,2020,2,2020-02-20,20,08:58:31
61,0,2020-02-16 21:00:02,2020,2,2020-02-16,16,21:00:02
62,2,2020-02-16 09:15:24,2020,2,2020-02-16,16,09:15:24
63,3,2020-02-15 08:58:37,2020,2,2020-02-15,15,08:58:37
64,2,2020-02-14 21:10:13,2020,2,2020-02-14,14,21:10:13
65,0,2020-02-11 21:00:53,2020,2,2020-02-11,11,21:00:53
66,1,2020-02-11 09:00:50,2020,2,2020-02-11,11,09:00:50
67,0,2020-02-11 06:00:08,2020,2,2020-02-11,11,06:00:08
68,1,2020-02-10 09:01:42,2020,2,2020-02-10,10,09:01:42
69,0,2020-02-09 20:53:57,2020,2,2020-02-09,9,20:53:57
70,2,2020-02-04 08:56:41,2020,2,2020-02-04,4,08:56:41
71,0,2020-02-04 06:00:08,2020,2,2020-02-04,4,06:00:08
72,2,2020-02-03 18:02:07,2020,2,2020-02-03,3,18:02:07
73,0,2020-02-03 16:01:11,2020,2,2020-02-03,3,16:01:11
74,2,2020-02-03 08:55:17,2020,2,2020-02-03,3,08:55:17
75,0,2020-02-03 06:36:18,2020,2,2020-02-03,3,06:36:18
76,2,2020-01-31 09:02:06,2020,1,2020-01-31,31,09:02:06
77,0,2020-01-31 06:01:23,2020,1,2020-01-31,31,06:01:23
78,2,2020-01-30 21:00:54,2020,1,2020-01-30,30,21:00:54
79,0,2020-01-10 22:57:22,2020,1,2020-01-10,10,22:57:22
80,1,2020-01-10 06:01:15,2020,1,2020-01-10,10,06:01:15
81,2,2020-01-08 20:57:43,2020,1,2020-01-08,8,20:57:43
82,0,2020-01-08 06:01:48,2020,1,2020-01-08,8,06:01:48
83,2,2020-01-08 00:59:18,2020,1,2020-01-08,8,00:59:18
84,0,2020-01-05 23:00:14,2020,1,2020-01-05,5,23:00:14
85,2,2020-01-04 21:56:40,2020,1,2020-01-04,4,21:56:40
86,0,2019-12-13 21:00:53,2019,12,2019-12-13,13,21:00:53
87,1,2019-12-13 15:59:55,2019,12,2019-12-13,13,15:59:55
88,2,2019-12-13 09:01:03,2019,12,2019-12-13,13,09:01:03
89,1,2019-12-12 22:55:46,2019,12,2019-12-12,12,22:55:46
90,2,2019-12-11 09:50:05,2019,12,2019-12-11,11,09:50:05
91,0,2019-12-11 09:40:00,2019,12,2019-12-11,11,09:40:00
92,2,2019-12-10 20:58:48,2019,12,2019-12-10,10,20:58:48
93,3,2019-12-10 20:00:29,2019,12,2019-12-10,10,20:00:29
94,4,2019-12-09 22:02:19,2019,12,2019-12-09,9,22:02:19
95,6,2019-12-09 18:06:17,2019,12,2019-12-09,9,18:06:17
96,4,2019-12-09 10:00:48,2019,12,2019-12-09,9,10:00:48
97,2,2019-12-08 09:00:06,2019,12,2019-12-08,8,09:00:06
98,1,2019-12-07 22:51:31,2019,12,2019-12-07,7,22:51:31
99,2,2019-12-06 23:01:37,2019,12,2019-12-06,6,23:01:37
100,4,2019-12-06 14:07:42,2019,12,2019-12-06,6,14:07:42
101,2,2019-12-06 09:02:14,2019,12,2019-12-06,6,09:02:14
102,0,2019-12-06 07:04:27,2019,12,2019-12-06,6,07:04:27
103,2,2019-12-05 16:00:38,2019,12,2019-12-05,5,16:00:38
104,0,2019-11-08 05:00:32,2019,11,2019-11-08,8,05:00:32
105,2,2019-11-07 22:00:29,2019,11,2019-11-07,7,22:00:29
106,0,2019-10-19 22:59:56,2019,10,2019-10-19,19,22:59:56
107,1,2019-10-19 08:58:02,2019,10,2019-10-19,19,08:58:02
108,0,2019-10-18 23:03:14,2019,10,2019-10-18,18,23:03:14
109,2,2019-10-18 12:00:38,2019,10,2019-10-18,18,12:00:38
110,1,2019-10-18 08:47:24,2019,10,2019-10-18,18,08:47:24
111,0,2019-10-17 23:01:04,2019,10,2019-10-17,17,23:01:04
112,2,2019-10-17 09:00:24,2019,10,2019-10-17,17,09:00:24
113,0,2019-10-16 23:00:12,2019,10,2019-10-16,16,23:00:12
114,2,2019-10-16 08:59:53,2019,10,2019-10-16,16,08:59:53
115,0,2019-03-23 22:31:35,2019,3,2019-03-23,23,22:31:35
116,1,2019-03-23 21:25:28,2019,3,2019-03-23,23,21:25:28
117,2,2019-03-23 09:13:23,2019,3,2019-03-23,23,09:13:23
118,1,2019-03-22 23:00:20,2019,3,2019-03-22,22,23:00:20
119,2,2019-03-22 08:59:35,2019,3,2019-03-22,22,08:59:35
120,1,2019-03-21 23:41:58,2019,3,2019-03-21,21,23:41:58
121,4,2019-03-21 08:59:19,2019,3,2019-03-21,21,08:59:19
122,2,2019-03-20 23:01:07,2019,3,2019-03-20,20,23:01:07
123,4,2019-03-20 08:55:24,2019,3,2019-03-20,20,08:55:24
124,2,2019-03-19 23:00:15,2019,3,2019-03-19,19,23:00:15
125,4,2019-03-19 09:00:31,2019,3,2019-03-19,19,09:00:31
126,2,2019-03-19 08:09:45,2019,3,2019-03-19,19,08:09:45
127,4,2019-03-18 09:00:17,2019,3,2019-03-18,18,09:00:17
128,2,2019-03-17 22:55:32,2019,3,2019-03-17,17,22:55:32
129,4,2019-03-17 07:37:32,2019,3,2019-03-17,17,07:37:32
130,2,2019-03-16 22:56:38,2019,3,2019-03-16,16,22:56:38
131,4,2019-03-16 12:23:41,2019,3,2019-03-16,16,12:23:41
132,3,2019-03-16 10:03:00,2019,3,2019-03-16,16,10:03:00
133,2,2019-03-16 08:02:42,2019,3,2019-03-16,16,08:02:42
134,0,2019-03-15 23:02:47,2019,3,2019-03-15,15,23:02:47
135,2,2019-03-15 08:05:14,2019,3,2019-03-15,15,08:05:14
136,0,2019-03-14 23:18:34,2019,3,2019-03-14,14,23:18:34
137,2,2019-03-14 15:00:46,2019,3,2019-03-14,14,15:00:46
138,1,2019-03-14 11:01:53,2019,3,2019-03-14,14,11:01:53
139,0,2019-02-14 22:03:16,2019,2,2019-02-14,14,22:03:16
140,2,2019-02-14 08:00:48,2019,2,2019-02-14,14,08:00:48
141,0,2019-02-13 21:55:09,2019,2,2019-02-13,13,21:55:09
142,3,2019-02-13 08:00:10,2019,2,2019-02-13,13,08:00:10
143,0,2019-02-12 22:28:44,2019,2,2019-02-12,12,22:28:44
144,3,2019-02-12 08:00:53,2019,2,2019-02-12,12,08:00:53
145,0,2019-02-11 23:06:27,2019,2,2019-02-11,11,23:06:27
146,4,2019-02-11 13:03:27,2019,2,2019-02-11,11,13:03:27
147,2,2019-02-11 09:01:41,2019,2,2019-02-11,11,09:01:41
148,0,2019-02-10 22:02:05,2019,2,2019-02-10,10,22:02:05
149,2,2019-02-10 13:02:33,2019,2,2019-02-10,10,13:02:33
150,0,2018-12-08 21:41:27,2018,12,2018-12-08,8,21:41:27
151,1,2018-12-08 10:15:38,2018,12,2018-12-08,8,10:15:38
152,0,2018-12-07 21:39:22,2018,12,2018-12-07,7,21:39:22
153,1,2018-12-07 09:00:07,2018,12,2018-12-07,7,09:00:07
154,0,2018-12-06 20:58:13,2018,12,2018-12-06,6,20:58:13
155,1,2018-12-06 20:27:27,2018,12,2018-12-06,6,20:27:27
156,2,2018-12-06 09:00:40,2018,12,2018-12-06,6,09:00:40
157,0,2018-12-05 21:33:41,2018,12,2018-12-05,5,21:33:41
158,1,2018-12-05 20:57:44,2018,12,2018-12-05,5,20:57:44
159,2,2018-12-05 09:01:04,2018,12,2018-12-05,5,09:01:04
160,0,2018-12-04 21:30:24,2018,12,2018-12-04,4,21:30:24
161,1,2018-12-04 21:01:18,2018,12,2018-12-04,4,21:01:18
162,2,2018-12-04 09:00:45,2018,12,2018-12-04,4,09:00:45
163,0,2018-12-03 21:08:25,2018,12,2018-12-03,3,21:08:25
164,1,2018-12-03 20:17:47,2018,12,2018-12-03,3,20:17:47
165,2,2018-12-03 09:56:54,2018,12,2018-12-03,3,09:56:54
166,0,2018-12-02 20:49:58,2018,12,2018-12-02,2,20:49:58
167,1,2018-12-02 20:25:42,2018,12,2018-12-02,2,20:25:42
168,2,2018-12-02 08:01:56,2018,12,2018-12-02,2,08:01:56
169,0,2018-12-01 21:24:43,2018,12,2018-12-01,1,21:24:43
170,1,2018-12-01 20:55:36,2018,12,2018-12-01,1,20:55:36
171,2,2018-12-01 16:07:08,2018,12,2018-12-01,1,16:07:08
172,1,2018-12-01 09:01:25,2018,12,2018-12-01,1,09:01:25
173,0,2018-11-30 21:01:22,2018,11,2018-11-30,30,21:01:22
174,2,2018-11-30 09:00:07,2018,11,2018-11-30,30,09:00:07
175,0,2018-11-29 21:07:57,2018,11,2018-11-29,29,21:07:57
176,1,2018-11-29 12:06:02,2018,11,2018-11-29,29,12:06:02
177,0,2018-11-18 20:51:56,2018,11,2018-11-18,18,20:51:56
178,1,2018-11-18 12:42:06,2018,11,2018-11-18,18,12:42:06
179,0,2018-06-16 21:05:52,2018,6,2018-06-16,16,21:05:52
180,2,2018-06-16 17:02:17,2018,6,2018-06-16,16,17:02:17
181,0,2018-06-15 19:31:29,2018,6,2018-06-15,15,19:31:29
182,1,2018-06-15 11:32:16,2018,6,2018-06-15,15,11:32:16
183,0,2018-06-14 20:03:07,2018,6,2018-06-14,14,20:03:07
184,1,2018-06-14 17:52:52,2018,6,2018-06-14,14,17:52:52
185,0,2015-09-14 21:25:09,2015,9,2015-09-14,14,21:25:09
186,1,2015-09-14 19:01:03,2015,9,2015-09-14,14,19:01:03
187,0,2015-08-08 21:01:20,2015,8,2015-08-08,8,21:01:20
188,1,2015-08-08 16:58:18,2015,8,2015-08-08,8,16:58:18
189,0,2015-08-06 21:57:52,2015,8,2015-08-06,6,21:57:52
190,2,2015-08-06 16:58:54,2015,8,2015-08-06,6,16:58:54
191,0,2015-08-06 12:01:29,2015,8,2015-08-06,6,12:01:29
192,1,2015-08-06 06:43:57,2015,8,2015-08-06,6,06:43:57
193,0,2015-08-05 22:02:05,2015,8,2015-08-05,5,22:02:05
194,2,2015-08-05 17:10:37,2015,8,2015-08-05,5,17:10:37
195,0,2015-08-04 21:59:12,2015,8,2015-08-04,4,21:59:12
196,2,2015-08-04 17:02:46,2015,8,2015-08-04,4,17:02:46
197,0,2015-08-03 21:57:21,2015,8,2015-08-03,3,21:57:21
198,2,2015-08-03 17:01:21,2015,8,2015-08-03,3,17:01:21
199,0,2015-07-30 22:00:40,2015,7,2015-07-30,30,22:00:40
200,1,2015-07-30 17:17:16,2015,7,2015-07-30,30,17:17:16
201,0,2015-07-29 22:02:10,2015,7,2015-07-29,29,22:02:10
202,1,2015-07-29 16:55:45,2015,7,2015-07-29,29,16:55:45
203,0,2015-07-26 21:18:44,2015,7,2015-07-26,26,21:18:44
204,2,2015-07-26 08:32:17,2015,7,2015-07-26,26,08:32:17
205,0,2015-07-25 21:55:31,2015,7,2015-07-25,25,21:55:31
206,2,2015-07-25 08:21:21,2015,7,2015-07-25,25,08:21:21
207,0,2015-07-24 22:04:01,2015,7,2015-07-24,24,22:04:01
208,2,2015-07-24 16:56:15,2015,7,2015-07-24,24,16:56:15
209,1,2015-07-24 11:55:58,2015,7,2015-07-24,24,11:55:58
210,0,2015-07-23 22:04:45,2015,7,2015-07-23,23,22:04:45
